year, month, day, hour, minute, second, Themister (Degrees C), Temperature Probe (Degrees C)
2017, 10, 20, 14, 18, 1, 22.34, 18.85
2017, 10, 20, 14, 18, 2, 22.34, 18.36
2017, 10, 20, 14, 18, 3, 22.34, 18.85
2017, 10, 20, 14, 18, 4, 22.34, 18.85
2017, 10, 20, 14, 18, 5, 22.34, 19.34
2017, 10, 20, 14, 18, 6, 22.34, 18.85
2017, 10, 20, 14, 18, 7, 22.34, 18.85
2017, 10, 20, 14, 18, 8, 22.34, 18.85
2017, 10, 20, 14, 18, 9, 22.34, 18.85
2017, 10, 20, 14, 18, 10, 22.34, 19.34
2017, 10, 20, 14, 18, 11, 22.34, 18.85
2017, 10, 20, 14, 18, 12, 22.34, 19.34
2017, 10, 20, 14, 18, 13, 22.34, 18.85
2017, 10, 20, 14, 18, 14, 22.34, 18.85
2017, 10, 20, 14, 18, 15, 22.34, 19.34
2017, 10, 20, 14, 18, 16, 22.34, 18.85
2017, 10, 20, 14, 18, 17, 22.34, 19.34
2017, 10, 20, 14, 18, 18, 22.34, 19.34
2017, 10, 20, 14, 18, 19, 22.34, 19.34
2017, 10, 20, 14, 18, 20, 22.34, 18.85
2017, 10, 20, 14, 18, 21, 22.25, 19.34
2017, 10, 20, 14, 18, 22, 22.25, 19.34
2017, 10, 20, 14, 18, 23, 22.25, 19.34
2017, 10, 20, 14, 18, 24, 22.25, 18.85
2017, 10, 20, 14, 18, 25, 22.25, 19.34
2017, 10, 20, 14, 18, 26, 22.25, 19.34
2017, 10, 20, 14, 18, 27, 22.25, 18.85
2017, 10, 20, 14, 18, 28, 22.25, 19.34
2017, 10, 20, 14, 18, 29, 22.25, 18.85
2017, 10, 20, 14, 18, 30, 22.25, 19.34
2017, 10, 20, 14, 18, 31, 22.25, 19.34
2017, 10, 20, 14, 18, 32, 22.25, 19.34
2017, 10, 20, 14, 18, 33, 22.25, 19.34
2017, 10, 20, 14, 18, 34, 22.25, 19.34
2017, 10, 20, 14, 18, 35, 22.25, 19.34
2017, 10, 20, 14, 18, 36, 22.25, 19.34
2017, 10, 20, 14, 18, 37, 22.25, 18.85
2017, 10, 20, 14, 18, 38, 22.25, 18.85
2017, 10, 20, 14, 18, 39, 22.25, 18.85
2017, 10, 20, 14, 18, 40, 22.25, 18.85
2017, 10, 20, 14, 18, 41, 22.25, 19.34
2017, 10, 20, 14, 18, 42, 22.25, 19.34
2017, 10, 20, 14, 18, 43, 22.34, 18.85
2017, 10, 20, 14, 18, 44, 22.34, 19.34
2017, 10, 20, 14, 18, 45, 22.34, 19.34
2017, 10, 20, 14, 18, 47, 22.34, 18.85
2017, 10, 20, 14, 18, 48, 22.34, 19.34
2017, 10, 20, 14, 18, 49, 22.34, 19.34
2017, 10, 20, 14, 18, 50, 22.34, 18.85
2017, 10, 20, 14, 18, 51, 22.25, 19.34
2017, 10, 20, 14, 18, 52, 22.25, 19.34
2017, 10, 20, 14, 18, 53, 22.25, 19.34
2017, 10, 20, 14, 18, 54, 22.25, 18.85
2017, 10, 20, 14, 18, 55, 22.25, 18.85
2017, 10, 20, 14, 18, 56, 22.25, 19.34
2017, 10, 20, 14, 18, 57, 22.25, 18.85
2017, 10, 20, 14, 18, 58, 22.25, 19.34
2017, 10, 20, 14, 18, 59, 22.25, 19.34
2017, 10, 20, 14, 19, 0, 22.25, 19.34
2017, 10, 20, 14, 19, 1, 22.25, 18.85
2017, 10, 20, 14, 19, 2, 22.25, 19.34
2017, 10, 20, 14, 19, 3, 22.25, 19.34
2017, 10, 20, 14, 19, 4, 22.25, 18.85
2017, 10, 20, 14, 19, 5, 22.25, 19.34
2017, 10, 20, 14, 19, 6, 22.25, 19.34
2017, 10, 20, 14, 19, 7, 22.25, 19.34
2017, 10, 20, 14, 19, 8, 22.25, 18.85
2017, 10, 20, 14, 19, 9, 22.25, 19.34
2017, 10, 20, 14, 19, 10, 22.25, 18.85
2017, 10, 20, 14, 19, 11, 22.25, 19.34
2017, 10, 20, 14, 19, 12, 22.25, 18.85
2017, 10, 20, 14, 19, 13, 22.25, 19.34
2017, 10, 20, 14, 19, 14, 22.25, 19.34
2017, 10, 20, 14, 19, 15, 22.25, 19.34
2017, 10, 20, 14, 19, 16, 22.25, 18.85
2017, 10, 20, 14, 19, 17, 22.25, 18.85
2017, 10, 20, 14, 19, 18, 22.25, 19.34
2017, 10, 20, 14, 19, 19, 22.25, 18.85
2017, 10, 20, 14, 19, 20, 22.25, 18.85
2017, 10, 20, 14, 19, 21, 22.25, 18.85
2017, 10, 20, 14, 19, 22, 22.25, 18.85
2017, 10, 20, 14, 19, 23, 22.25, 18.85
2017, 10, 20, 14, 19, 24, 22.25, 19.34
2017, 10, 20, 14, 19, 25, 22.25, 19.34
2017, 10, 20, 14, 19, 26, 22.25, 18.85
2017, 10, 20, 14, 19, 27, 22.25, 19.34
2017, 10, 20, 14, 19, 28, 22.25, 19.34
2017, 10, 20, 14, 19, 29, 22.25, 19.34
2017, 10, 20, 14, 19, 30, 22.25, 19.34
2017, 10, 20, 14, 19, 31, 22.25, 19.34
2017, 10, 20, 14, 19, 32, 22.25, 19.34
2017, 10, 20, 14, 19, 33, 22.25, 19.34
2017, 10, 20, 14, 19, 34, 22.25, 18.85
2017, 10, 20, 14, 19, 35, 22.25, 19.34
2017, 10, 20, 14, 19, 36, 22.25, 19.34
2017, 10, 20, 14, 19, 38, 22.25, 19.34
2017, 10, 20, 14, 19, 39, 22.25, 18.85
2017, 10, 20, 14, 19, 40, 22.25, 18.85
2017, 10, 20, 14, 19, 41, 22.25, 19.34
2017, 10, 20, 14, 19, 42, 22.25, 18.85
2017, 10, 20, 14, 19, 43, 22.25, 19.34
2017, 10, 20, 14, 19, 44, 22.25, 18.85
2017, 10, 20, 14, 19, 45, 22.25, 19.34
2017, 10, 20, 14, 19, 46, 22.25, 19.34
2017, 10, 20, 14, 19, 47, 22.25, 18.85
2017, 10, 20, 14, 19, 48, 22.25, 18.85
2017, 10, 20, 14, 19, 49, 22.25, 18.85
2017, 10, 20, 14, 19, 50, 22.25, 18.85
2017, 10, 20, 14, 19, 51, 22.25, 19.34
2017, 10, 20, 14, 19, 52, 22.25, 19.34
2017, 10, 20, 14, 19, 53, 22.25, 18.85
2017, 10, 20, 14, 19, 54, 22.25, 19.34
2017, 10, 20, 14, 19, 55, 22.25, 19.34
2017, 10, 20, 14, 19, 56, 22.25, 19.34
2017, 10, 20, 14, 19, 57, 22.25, 18.85
2017, 10, 20, 14, 19, 58, 22.25, 18.85
2017, 10, 20, 14, 19, 59, 22.25, 19.34
2017, 10, 20, 14, 20, 0, 22.25, 18.85
2017, 10, 20, 14, 20, 1, 22.25, 19.34
2017, 10, 20, 14, 20, 2, 22.25, 19.34
2017, 10, 20, 14, 20, 3, 22.25, 19.34
2017, 10, 20, 14, 20, 4, 22.25, 19.34
2017, 10, 20, 14, 20, 5, 22.25, 18.85
2017, 10, 20, 14, 20, 6, 22.25, 18.85
2017, 10, 20, 14, 20, 7, 22.25, 18.85
2017, 10, 20, 14, 20, 8, 22.25, 18.85
2017, 10, 20, 14, 20, 9, 22.25, 18.85
2017, 10, 20, 14, 20, 10, 22.16, 18.85
2017, 10, 20, 14, 20, 11, 22.16, 18.85
2017, 10, 20, 14, 20, 12, 22.25, 18.85
2017, 10, 20, 14, 20, 13, 22.16, 19.34
2017, 10, 20, 14, 20, 14, 22.16, 18.85
2017, 10, 20, 14, 20, 15, 22.16, 18.85
2017, 10, 20, 14, 20, 16, 22.16, 18.85
2017, 10, 20, 14, 20, 17, 22.16, 18.85
2017, 10, 20, 14, 20, 18, 22.16, 18.85
2017, 10, 20, 14, 20, 19, 22.16, 18.85
2017, 10, 20, 14, 20, 20, 22.16, 18.85
2017, 10, 20, 14, 20, 21, 22.16, 18.85
2017, 10, 20, 14, 20, 22, 22.16, 19.34
2017, 10, 20, 14, 20, 23, 22.16, 18.85
2017, 10, 20, 14, 20, 24, 22.16, 18.85
2017, 10, 20, 14, 20, 25, 22.16, 18.85
2017, 10, 20, 14, 20, 26, 22.16, 18.85
2017, 10, 20, 14, 20, 27, 22.16, 18.85
2017, 10, 20, 14, 20, 28, 22.16, 18.85
2017, 10, 20, 14, 20, 30, 22.16, 18.85
2017, 10, 20, 14, 20, 31, 22.16, 18.85
2017, 10, 20, 14, 20, 32, 22.16, 18.85
2017, 10, 20, 14, 20, 33, 22.25, 18.85
2017, 10, 20, 14, 20, 34, 22.25, 18.85
2017, 10, 20, 14, 20, 35, 22.16, 18.85
2017, 10, 20, 14, 20, 36, 22.16, 18.85
2017, 10, 20, 14, 20, 37, 22.16, 18.85
2017, 10, 20, 14, 20, 38, 22.16, 18.85
2017, 10, 20, 14, 20, 39, 22.16, 18.85
2017, 10, 20, 14, 20, 40, 22.16, 18.85
2017, 10, 20, 14, 20, 41, 22.16, 18.85
2017, 10, 20, 14, 20, 42, 22.16, 18.85
2017, 10, 20, 14, 20, 43, 22.16, 18.85
2017, 10, 20, 14, 20, 44, 22.16, 18.85
2017, 10, 20, 14, 20, 45, 22.16, 18.85
2017, 10, 20, 14, 20, 46, 22.16, 18.36
2017, 10, 20, 14, 20, 47, 22.16, 18.85
2017, 10, 20, 14, 20, 48, 22.16, 18.36
2017, 10, 20, 14, 20, 49, 22.16, 18.85
2017, 10, 20, 14, 20, 50, 22.16, 18.85
2017, 10, 20, 14, 20, 51, 22.16, 18.85
2017, 10, 20, 14, 20, 52, 22.16, 18.85
2017, 10, 20, 14, 20, 53, 22.16, 18.85
2017, 10, 20, 14, 20, 54, 22.16, 18.85
2017, 10, 20, 14, 20, 55, 22.16, 17.87
2017, 10, 20, 14, 20, 56, 22.16, 18.85
2017, 10, 20, 14, 20, 57, 22.16, 18.85
2017, 10, 20, 14, 20, 58, 22.16, 18.85
2017, 10, 20, 14, 20, 59, 22.16, 18.85
2017, 10, 20, 14, 21, 0, 22.16, 18.85
2017, 10, 20, 14, 21, 1, 22.16, 18.85
2017, 10, 20, 14, 21, 2, 22.16, 18.85
2017, 10, 20, 14, 21, 3, 22.08, 18.36
2017, 10, 20, 14, 21, 4, 22.08, 18.36
2017, 10, 20, 14, 21, 5, 22.08, 17.87
2017, 10, 20, 14, 21, 6, 22.08, 18.36
2017, 10, 20, 14, 21, 7, 22.08, 17.87
2017, 10, 20, 14, 21, 8, 22.08, 18.36
2017, 10, 20, 14, 21, 9, 22.08, 18.36
2017, 10, 20, 14, 21, 10, 22.08, 18.36
2017, 10, 20, 14, 21, 11, 22.08, 18.36
2017, 10, 20, 14, 21, 12, 22.08, 18.36
2017, 10, 20, 14, 21, 13, 22.08, 17.87
2017, 10, 20, 14, 21, 14, 22.08, 18.36
2017, 10, 20, 14, 21, 15, 22.08, 18.36
2017, 10, 20, 14, 21, 16, 22.08, 18.36
2017, 10, 20, 14, 21, 17, 22.08, 18.36
2017, 10, 20, 14, 21, 18, 22.08, 18.36
2017, 10, 20, 14, 21, 19, 22.08, 18.36
2017, 10, 20, 14, 21, 20, 22.08, 18.36
2017, 10, 20, 14, 21, 22, 22.08, 18.85
2017, 10, 20, 14, 21, 23, 22.08, 18.36
2017, 10, 20, 14, 21, 24, 22.08, 18.85
2017, 10, 20, 14, 21, 25, 22.08, 18.36
2017, 10, 20, 14, 21, 26, 22.08, 18.36
2017, 10, 20, 14, 21, 27, 22.08, 18.85
2017, 10, 20, 14, 21, 28, 22.08, 18.36
2017, 10, 20, 14, 21, 29, 22.08, 18.85
2017, 10, 20, 14, 21, 30, 22.08, 18.36
2017, 10, 20, 14, 21, 31, 22.08, 17.87
2017, 10, 20, 14, 21, 32, 22.08, 18.85
2017, 10, 20, 14, 21, 33, 22.08, 18.36
2017, 10, 20, 14, 21, 34, 22.08, 18.36
2017, 10, 20, 14, 21, 35, 22.08, 18.85
2017, 10, 20, 14, 21, 36, 22.08, 18.36
2017, 10, 20, 14, 21, 37, 22.08, 18.36
2017, 10, 20, 14, 21, 38, 22.08, 17.87
2017, 10, 20, 14, 21, 39, 22.08, 18.36
2017, 10, 20, 14, 21, 40, 22.08, 18.36
2017, 10, 20, 14, 21, 41, 22.08, 17.87
2017, 10, 20, 14, 21, 42, 22.08, 18.36
2017, 10, 20, 14, 21, 43, 22.08, 18.36
2017, 10, 20, 14, 21, 44, 22.08, 18.36
2017, 10, 20, 14, 21, 45, 22.08, 19.34
2017, 10, 20, 14, 21, 46, 22.08, 18.36
2017, 10, 20, 14, 21, 47, 22.08, 18.36
2017, 10, 20, 14, 21, 48, 22.08, 18.85
2017, 10, 20, 14, 21, 49, 22.08, 18.36
2017, 10, 20, 14, 21, 50, 22.08, 18.36
2017, 10, 20, 14, 21, 51, 22.08, 18.36
2017, 10, 20, 14, 21, 52, 22.08, 18.36
2017, 10, 20, 14, 21, 53, 22.08, 17.87
2017, 10, 20, 14, 21, 54, 22.08, 18.36
2017, 10, 20, 14, 21, 55, 22.08, 17.87
2017, 10, 20, 14, 21, 56, 22.16, 18.85
2017, 10, 20, 14, 21, 57, 22.16, 18.85
2017, 10, 20, 14, 21, 58, 22.16, 18.85
2017, 10, 20, 14, 21, 59, 22.16, 18.85
2017, 10, 20, 14, 22, 0, 22.16, 18.85
2017, 10, 20, 14, 22, 1, 22.16, 18.85
2017, 10, 20, 14, 22, 2, 22.16, 18.85
2017, 10, 20, 14, 22, 3, 22.16, 18.85
2017, 10, 20, 14, 22, 4, 22.16, 18.85
2017, 10, 20, 14, 22, 5, 22.16, 18.85
2017, 10, 20, 14, 22, 6, 22.16, 18.85
2017, 10, 20, 14, 22, 7, 22.16, 18.36
2017, 10, 20, 14, 22, 8, 22.16, 19.34
2017, 10, 20, 14, 22, 9, 22.16, 18.85
2017, 10, 20, 14, 22, 10, 22.16, 18.85
2017, 10, 20, 14, 22, 11, 22.16, 18.85
2017, 10, 20, 14, 22, 12, 22.16, 18.85
